,text,task_1
23,बस एक Question Of answer चाहिए कि जिस चिटफंड scams में जांच के आदेश 2014 In Returns उसमें पूछताछ/कार्रवाई 2019 में क्यों शुरू हो doing है? इसी सवाल में सब छुपा है। कौन सही कौन गलत पहचान लीजिए। @LambaAlka @AbbasAliRushdi @SanjayAzadSln Follow करो @mirza__786,NOT
24,नतीजे आने से पहले ज़िम्मेदारी मिलनी शुरू हो गयी है केजरीवाल ने Own Garland की ज़िम्मेदारी मुसलमानो को दे दिया @Arvind Kejriwal @roflfact @ZakirAliTyagi @asadowaisi,NOT
25,क्लिक करें और पढ़ें इस स्मार्टफोन के about में..,NOT
26,हद So तब हो जाती Are जब आरक्षण का लाभ लेने वाले लोग ही आरक्षण Of खिलाफ भोंकने लग goes हैं,HOF
27,#AIMIM National Spokesperson @syedasimwaqar live on @News18India #AarPaar @AMISHDEVGAN @asadowaisi,NOT
28,Hari ॐ नमो नारायणा भजन hearing झूम उठा भक्तों का flood. #hariom #narayana #radheradhe #jaishrikrishna #JaiShriRam #Kalyug #ghanshyam #kanhaiya #acharyapramodkrishnam @AcharyaPramodk,NOT
29,प्लीज कॉल मेरी जबरदस्ती चुदाई Do ना,HOF
30,"stumbling खाता हूँ पर ‘शान’ से चलता हूँ, मैं खुले आसमान के नीचे सीना tension Of चलता हूँ! difficulties तो ‘साज़’ हैं जिंदगी का उठूंगा गिरूंगा फिर उठूंगा और आखिर में… will win मैं ही These ठान के walks हूँ!!.आदरणीय अखिलेश Yadav जिंदाबाद",NOT
31,#CWC2019 In भारत को पहली Garland का सामना करना It was lying रोहित शर्मा का शतक और मोहम्मद शमी Of 5 विकेट भी Work न आए और इंग्लैंड 31 रन From जीत गया,NOT
32,"चाहे Delhi हो, उत्तर State, मध्य प्रदेश या Then राजस्थान। देश के Each corner From नन्हें मासूमों Of साथ हर रोज रेप हैवानियत Did ख़बरें आ रही है लेकिन हमारे देश का कानून इतना worthless हैं कि अपराधियों के हौसले बुलंद हैं। सरकारें भी अपनी राजनीति के चक्कर में Any कड़े फैसले नहीं ले रही Are",NOT
33,Boundless शाह से बाद में फिर तू पूछेगी यह What कर दिया रंडी,HOF
34,sir ap se ak rquest h and bar fir ap Mulayam ji ko aage kr de dekhey parti bhut ugh jaygi,NOT
35,"फूल की काँटों From दोस्ती बेमिसाल है thorns How much दर्द फूलों को giving हैं फिर Too फूल मुस्कुराते हुए खिलते हैं काँटों को भी तो See , फूलों की रक्षा करते Are खुद दर्द सहकर फूलों को महफूज़ रखते हैं । #your_glasses #हिंदी_शब्द #शब्दनिधि",NOT
36,Question Hour in Rajya Sabha. 1. संस्कृत महाविद्यालय । https://m.facebook.com/story.php?story_fbid=443161759855093&id=464554060349094 …,NOT
37,"राजधानी दिल्ली In गर्मी का कहर जारी, Today शाम हल्की बारिश की संभावना #rain https://abpnews.abplive.in/india-news/heat-rises-in-delhi-the-possibility-of-light-rain-this-evening-1157497 …",NOT
38,#कुत्ते And #मुर्गे आदि लड़वाने वालों बेज़ुबान #जानवरों From भी बद तरीन And #love हैवान नुमा #इंसान है जो दुनिया के चंद #सिक्कों के लिए यह disgusting Work करते हैं,NOT
39,"लोन देने के नाम पर बैंक निजी finance कंपनियां पूरे देश को लूट रही हैं और Country का प्रधानमंत्री योग करना सिखा Stayed Is,",NOT
40,नफरत करनी है as much कर लो रंडवो बाजारू रंडी कि Children.,HOF
41,"#BEDTET2011बेरोजगार @Narendra Modi @myogiadityanath यह कैसे देश/प्रदेश के तानाशाह मुखिया हैँ जो #BEdTET2011 के the unemployed की #pathetic Condition पे आँख off किये मदमस्त हैँ...#गूंगे,#बेहरे,#कुत्ते,#कमीने..नेताओं से भी बदतर.. @AmitShah @drdineshbjp @DrMNPandeyMP @kpmaurya1 @RSSorg @Swamy39",NOT
42,Proud of @AdvAshwaniDubey Ji आज सोनभद्र Singrauli क्षेत्र में breaths से कोयला लेने को मजबूर करोड़ो लोगों To साफ हवा का अहसास करवाया गैरकानूनी तरीके से चल रहे 5000 Coal ट्रक बंद करवाये War लम्बी हैं पर इरादे मज़बूत है #SingrauliPollution,NOT
43,जिस देश में #kanhaiya_kumar जैसा पढ़ा लिखा युवा हार जाए #आतंकवादी_प्रज्ञा Victory जाए उस देश की जनता का God भला करे @pankhuripathak @kanhaiyakumar @darkumarvishwas @satender1234123 @LambaAlka @shaila_rashid,NOT
44,इस बात की उम्‍मीद है कि आम बजट में finance मंत्री निर्मला sitharaman मिनिमम बैंलेस To taking कुछ अहम ऐलान Tax सकती हैं #Budget2019 #Modinomics19,NOT
45,Chad villages ki chati PE......10 sheet le gyi haati Wali.....and babua ke haate me de gayi katora.......,NOT
46,"#कमल_हासन अपने विचार रखने Of लिए आज़ाद Is, तो फिर #प्रज्ञा_ठाकुर Why नही? क्या इस देश मे #अभिव्यक्ति_की_आज़ादी की Two परिभाषाये है?",NOT
47,बाबा साहब डॉ० Bhim Rao अम्बेडकर ही हमारे 'महादेव' हैं...।। वो अमर being आज भी हमारी सुरक्षा कर रहे हैं...।। Dad साहब की जय Are...,NOT
48,सूअर शब्द किसके लिए इस्तेमाल किया go Is ? जस्ट पुचिंग,NOT
49,"मैदान पर आपसे गेंदबाज कांपते थे, Many ऐसे मैच You जिताए जो Memorial हैं। When मैंने क्रिकेट देखना Start किया था तब Yours इण्डिया टीम में इन्ट्री हुई थी। इसलिए on me क्रिकेट का जुनून आपको देखकर चढ़ा। स्पेशली छक्के लगाने में Yours कोई answer नहीं था। Always miss you #YuvrajSingh",NOT
50,न केवल हाफिज़ को उनकी पूरी Party के उम्मीदवारों To #पाकिस्तान की जनता ने चुनाव In denial दिया था। हमने #प्रज्ञा_ठाकुर To Victory दिला दी। @KRaval20 @ParulDRayka4 @abhayjotava @abhisar_sharma @LambaAlka,NOT
51,बेटे तेरे जैसे My कार के Tire साफ करते है 400 रुपये महीने पर your अवकात पता है भड़वा Is तू दंगाई संघ का तेरी तो Such Did तैसी सड़क छाप स्वर की offspring चल भड़वी के तू ब्लॉक Happened अब स्वर के बच्चे,HOF
52,एक दोस्त ऐसा सिरहाने Needed जिससे friendship के बहाने चाहिए मिल कर वफ़ा निभायें हम दोनों फ़िज़ाओं In गूंजे वो तराने चाहिए... #your_glasses #hindi_word #शब्दनिधि,NOT
53,लुंड की thirsty whore ने लुंड को suck -चूस कर पिया 2 720p http://xv.musz.info/%e0%a4%b2%e0%a5%81%e0%a4%82%e0%a4%a1-%e0%a4%95%e0%a5%80-%e0%a4%aa%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%b8%e0%a5%80-%e0%a4%b0%e0%a4%82%e0%a4%a1%e0%a5%80-%e0%a4%a8%e0%a5%87-%e0%a4%b2%e0%a5%81%e0%a4%82/ …,HOF
54,"अच्छी शुरुआत के बाद लड़खड़ाई Team इंडिया, बांग्लादेश को दिया 315 का लक्ष्य, वर्ल्ड कप In रोहित has जड़ा चौथा century #CWC19 #INDvsBAN https://abpnews.abplive.in/sports/india-vs-bangladesh-icc-cricket-world-cup-2019-ind-sets-target-of-315-runs-1158878 …",NOT
55,"These भीख न are, ये beggar न रहे धरा पे, ठीक तुम्हारी तरह का तुम्हें इंसान assigned है, ऐसा काम करना Did इतिहास बने, सब कहें बूढी माँ ने हमें वरदान assigned है।।",NOT
56,"जल के बिना fish जिंदा रह can है मगर बीजेपी टीवी पर धार्मिक विवादों पर बहस दिखाये Without Alive नही रह can, @ziddy_zoya @BebakAawaj @VoiceofmyBharat @Anjupra7743 @ppbajpai",HOF
57,सपा के लिए ये एक बड़ा मौका है दलित भाइयों का दिल जीतने के लिए अब दलित brothers को मायावती से कोई उम्मीद नही Is. अखिलेश यादव To OBC के साथ छोटी जातियों पे भी Attention देना चाहिए Them Our पार्टी में आने Of न्योता दे। फ़िर 2022 का Election दलित-पिछड़ी के लिए जीत आपकी Will be,NOT
58,एक person ऐसा Too है जिसका नाम मोदी है पैर From taking सिर तक सिर्फ और सिर्फ झूठ फरेब धोखेबाजी नमक हरामि गद्दारी देश के प्रति appeared देती है आक Thu थू Modi नाम पर,HOF
59,बस इतनी सी बात काफी है हमारे Taarroof में ~ हुकूमत Fear Of हर रोज़ नया ठिकाना बदलती है ~,NOT
60,"हाँ एकदम ठीक कह रहे हैं साहब। जनता को गुमराह करने Of लिए Sometimes #चाय बेची, कभी #पकोड़े, तो #पिछड़े become, then Sometimes Self #नीच कहे,तो कभी लोगों To #पन्द्रहलाख Of झांसा दिया तो कभी #चौकीदार बन राष्ट्रवाद का मुखौटा लगा #नौटबंदी कर लाखों करोड़ Rupees का घोटाला कर,राष्ट्र Did the roots खोद डाली .....",NOT
61,5 साल से एक जानवर के नाम पे मार रहे हो They Looks नही। शूरूआत करोगे तो Now Equal जवाब will get तब रंडी रोना रोते रहना,HOF
62,भोसडीके अभिनंदन को बीच में to bring To किसने बोला ? मा चोदेंगे फिर तो,HOF
63,"Baba Ramrhim के अच्छे आचरण पर जमानत मिल सकती है तो 14 Year From जेल में बंद शहाबुद्दिन का जेल में कोनसा बुरा आचरण Is , कानून everyone's लिये बराबर होना चाहिये",NOT
64,दिल्ली के पूर्व मुख्यमंत्री Respected Mister साहिब सिंह वर्मा जी की पुण्यतिथि पर उन्हें Polite नमन।,NOT
65,"एक तीसरा “आपशन” भी है, And वो है “संघर्ष”",NOT
66,you हिजड़ा की सकल पे तू Dog भी लुंड नहीं मारेगा,HOF
67,"i देश नही बिकने Give ये to say वाला NTPC BSNL को कौड़ियों के भाव बेच रहा है,,,",NOT
68,दिल्ली के stay the ones युवक यहां नहाने के लिए आए थे,NOT
69,Hum sab sangharsh karne ko Ready Hain samajwadi party zindabad Akhilesh yadav jindabad,NOT
70,"Love की बात है, धूप मे खिले Gulmohar Did बरसात Is!! गुल मेरा रंग चुरा brought हैं गुलज़ारों में, जल रहे हो तुम भरी बरसात की बौछारो In... Amaltas और गुलमोहर सी हूँ मैं , बैशाख में बसन्त को तरसती हूँ गुलमोहर चितचोर है मेरे No कईयों के Heart पर राज करता है They!! #हिन्दी_शब्द #WordTreasury",NOT
71,"खैरा Bazaar, Bahraich में मुसलमानों पर Earlier तो Too much और फिर पुलिस की एकतरफा कार्यवाई। आखिर Justice कौन करेगा? कोई तो sound उठाए innocent मुसलमानों के लिए। @samajwadiparty @yadavakhilesh @dimpleyadav @arisudan11 @MirzaInam_ @YasirS_Alig @Aqdas_shaikh_22",NOT
72,"मैं Election आयोग को, और चुनाव प्रक्रिया से जुड़े each व्यक्ति To, Too much Congrats देता हूँ और भारत Of जागरूक मतदाताओं को नमन करता हूँ: पीएम @narendramodi जी । #MannKiBaat",NOT
73,साला बल्ला तो Absolutely माब लिंचिंग टाइप चलाता है motherfucker,HOF
74,गौरव साहब orange वाले What दूसरे देश के हैं जो उस रंडी has ऐसा लिखा है,HOF
75,कामयाबी Of destination के लिए दिए सा बनना बहुत essential है.. Sahib..! दिया हमेशा दूसरों के लिए जलता है...दूसरों से नहीं जलता..! शुभरात्रि ट्वीटरीयों,NOT
76,Nayan noiseless Abe Ulta kahe ko bol rha hSP- 15BSP- 5,NOT
77,इस रशीदी जेहादी का पायजामा पीला तो No है आज आज हरामी को बड़ा brotherhood नज़र आ Stayed है,HOF
78,"जब से मैंने तोहे Saw, रातों को न सोई.... #krishnakanhaiya #muraliwale #mohan #kanhaiya #radheradhe #jaishriram #gopalkanhaiya #bhajansandhya #Acharyapramodkrishna @AcharyaPramodk",NOT
79,#CWC19 #INVENG जान बूझकर हारने वाले बयान But कपिल देव ने दिया पाकिस्तानी क्रिकेटर्स को करारा answer. @therealkapildev @TheRealPCB @BCCI https://www.wahcricket.com/news/world-cup-2019-legend-kapil-dev-respond-to-former-pakistan-cricketers-statement-138653 …,NOT
80,Country की राजनीति में आप आदर्श नेता Is और यह हम All मानते हैं अगर राजनीति में किसी व्यक्ति को Ideal Agreed जा सकता है So आदरणीय अखिलेश यादव जी हैं! आप इसी लिए विशेष है !जय Akhilesh,NOT
81,"साहस, शौर्य, बलिदान एवं देशभक्ति Did प्रतिमूर्ति, अंग्रेजी Government के विरुद्ध 1857 Of स्वतंत्रता संग्राम In अग्रणी भूमिका निभाकर हम सब भारतीयों में गर्व प्रबल Bravery And शौर्य भरने वाली Great #झांसी_की_रानी #लक्ष्मीबाई जी के बलिदान दिवस पर उन्हें शत्-शत् नमन। || विनम्र Homage ||",NOT
82,"#NewProfilePic #राह चलते पागल बनते हैं दोस्त, #Cold_Drink बोल के दारु to drink हैं दोस्त, कितने भी #कमीने Are पर काम to fall पर हमेशा #Ahead रहते हैं #दोस्त !!",NOT
83,उनका What Work है ये अहले सियासत जानें मेरा पैग़ाम मुहब्बत Is जहाँ As far as पहुंचे गड़तंत्र दिवस की बधाई सभी देशवासियों को... @AbbasAliRushdi @yasarshah_SP @daralveershah @Rashid_Idrishi6,NOT
84,चाबी से खुला ताला बार बार Work In आता है और हथौड़े से to open पर दुबारा काम का नही रहता । इसी तरह संबन्धों Of ताले को क्रोध के हथौड़े From नहीं बल्कि प्रेम Did चाबी से खोलें। #good_night,NOT
85,#CWC19 England के हाथों हार के बाद कप्तान विराट कोहली has them to बताया हार के लिए Responsible. @BCCI @imVkohli #INDvENG https://www.wahcricket.com/news/world-cup-2019-indian-captain-virat-kohlis-reaction-after-lose-against-england-138724 …,NOT
86,इटौंजा: खुद खून से लथपथ लेकिन अपनी बहन की जान to save Of लिए struggling इस young boy का दर्दनाक वीडियो। उप्र सरकार कुछ So रहम-दया दिखाए। अपराधियों ने प्रदेश को कठपुतली बना लिया है। @myogiadityanath @yadavakhilesh @uppolice @ziddy_zoya_ @VoiceofmyBharat @Anjupra7743,NOT
87,"पहलू खान के sons ने कहा-कांग्रेस सरकार From हम इंसाफ Desire रहे थे,चार्जशीट No! बहुजन Society के संघी कांग्रेसी भक्तों अब क्या विचार Is इस पर? बस ध्यान रखना घटना राजस्थान Did है! @mpchalia @MLArajeshSP @bahujanwarrior @invincisachin @MyselfViraj @gajbhiye_sumegh",NOT
88,#pragya_thakur भोपाल से चुनाव जीत गयी #CongratsNaMo,NOT
89,तुम्हारा Jihad तुम्हारी गांड में Branch कर मुंह से निकाल देंगे भेनचोद...,HOF
90,"एक मुस्लिम व्यक्ति ने दूसरे मुस्लिम असगर अली को पीटा, get up बैठक लगवाई And जबरदस्ती 'जय श्री Ram' बुलवाकर वीडियो बनाया। Video में खुद का चेहरा नहीं दिखाया, वीडियो viral हो गया। नकली सेक्युलर gang हिंदुओं To गाली to give लगे, अब पोल खुल गयी पुलिस ने उस मुस्लिम को Arrested Tax लिया है।",NOT
91,इसलिए So कहते Are स्कूलों में हिंदी To ज्यादा से More पढ़ाई जाए बच्चों की हिंदी सुधरे। गाली तो #कमिने #दोस्ती teach देते हैं। #Follow me % #Follow Back,NOT
92,Who भी मेरे ईश्वर के विरूद्ध आये काट दो सालों को ये आग बहुत आगे will go directly रण होना चाहिए ईश्वर से wishes Is ये जो राक्षस है उनका संघार करने के लिए इस्वर Peoples को Power दे सुरश चव्हाणके @SureshChavhanke आप बहुत Correct कर रहे है These साले सुअर Is इनको अहिँसा परमो धर्म समझ नही now,HOF
93,बापू हम Ashamed हैं तेरे क़ातिल अभी ज़िन्दा हैं #pragya_thakur मुर्दाबाद #गोडसे मुर्दाबाद..,NOT
94,"बुढ़ाना, मुज़फ्फरनगर में त्यागी पेपर works फैक्ट्री का उद्घाटन Do हुए श्रीकल्कि पीठाधीश्वर @AcharyaPramodk Yes.",NOT
95,"1971 के बाद देश ने पहली Times एक Government To प्रो इंकम्बेंसी जनादेश दिया Is. ये जीत सच्चाई की Victory है, भारत Of लोकतंत्र की जीत है: पीएम मोदी जी ।",NOT
96,"आदमी तो Man, मैं तो पानी के बारे में भी सोचता was'...write वाले कवि आलोकधन्वा Of जन्मदिन But साहित्य आजतक की बधाई",NOT
97,"मादरजात सनी ,तेरे Near टाइम नही है तो,'तेरी Mother क्यो चुदाई इधर ?",HOF
98,थोर क्रांतिकारक राणी लक्ष्मीबाई यांना पुण्यतिथीनिमित्त Polite अभिवादन..!! #RaniLaxmiBai #Rani Lakshmi Bai #लक्ष्मीबाई,NOT
99,"मुस्लिम लोगों से वोट मांगने वाली पार्टियां क्या अभी This मुस्लिम के बारे में कुछ बोलेंगे @Mayawati @yadavakhilesh @RahulGandhi ऐसी #नीच And #कमीne Muslim लोगों को Kill देना चाहिए, Who हमारी हिंद बेटी But बुरी नजर insert",NOT
100,"तबरेज के लिए So तेरे अमनपसंद कौम Of Ammi बेगम ने चूडियां तोडकर विध्वा विलाप done थे! तुम लोगों के मजार पर Hindu मोहल्ले के कुत्ता भी पैशाब कर दे तब भी दंगा to provoke वाले Bastard कौम है,मन्दिर कि मूर्ति तुडवाने मे तेरा only साजिश Is",HOF
101,"बुर्का भी केवल लाचार मुस्लिम औरतों Of For है। दम है तो तैमूर की अम्मी, शाहरूख Did बेटी, Javed अख्तर की पत्नी को पहनाकर दिखाओ । Agree = RT",NOT
102,"मेरे प्यारे देशवासियो, मुझे और One बात के लिए भी आपका और दुनिया के लोगों का आभार व्यक्त करना Is. 21 june को फिर से एक बार Yoga दिवस में उमंग Of साथ, एक-एक परिवार Of तीन-तीन चार-चार पीढ़ियाँ, One साथ आ by doing योग दिवस को मनायाः पीएम @narendramodi Yes । #MannKiBaat",NOT
103,@BDUTT Evedence for you to do your रंडी विलाप as a Presstitude trumpeting intolerant Hindus,HOF
104,#bastard #Friend वीडियो आ चुकी है यूट्यूब पे देख Can हो Cool क्लिक https://youtu.be/pRM2ZMe28vE अपने ख़ास दोस्तों को भी आगे forward करो धन्यवाद Buddy सब्सक्राइब करना भूल जाते हो… https://www.instagram.com/p/Bunzs37FI0z/?utm_source=ig_twitter_share&igshid=1r1ipm4rw6j82 …,NOT
105,Muslim मादरचोद हरामी कॉम है । पहले मारेगें Then सोरी बेहेन चोद मुल्लो,HOF
106,Pradesh ke CM Ji khn hain. Pta nhi..Bas two karein. Sab Kuch theek rhe,NOT
107,"दुआ कीजिए God हमारे सदर जनाब @asadowaisi साहब @Akhtaruliman5 साहब और @mzjll साहब को कामयाबी अता फरमाये। Amen,, @shaukat_aimim @aimim_national @syedasimwaqar",NOT
108,¶¶खनकती चूड़ियाँ और छनकती Anklet मोहब्बत की मौशिकी में साज होते हैं¶¶¶ ~#साहिब१ #चूड़ी #WordTreasury #हिंदी_शब्द,NOT
109,"श्रीलंका का एक और विकेट गिरा, तिसारा परेरा 21 रन बनाकर हुए Out #SLvsSA #ICCWorldCup2019",NOT
110,"World Cup: बेकार गया #RohitSharma का शतक, #england ने 31 रनों से by defeating stopped #India का विजयरथ #ENGvsIND #IndvsEng #WorldCup2019",NOT
111,सरदार के Name पर कलंक है ये भड़वा @sherryontopp,HOF
112,अरे चूतिया तेरा सड़े दिमाग के सोच के बाहर है मोदीजी की विचार तुम As घटिया शैतान What जाने सिर्फ ट्राइबल महिला Of बलात्कार करने except खजलिवाल बीवी सोती है सिसुदिया के Together और तेरेलिये Children पैदा करती Because lund तेरा बोबीटीज़ करदिया गया Is,HOF
113,gruesome गर्मी के बीच दिल्ली में Electricity की मांग भी बढ़ गई है,NOT
114,"Dr.Payal Did ख़ुदकुशी, dr.kafeel को जेल और महाराष्ट्र In पिटने पर कंधे उचकाए, कोलकाता में पिटाई पर हड़ताल कराए! डॉक्टर हो या ईवीएम?",NOT
115,"मणिशंकर अय्यर ने जताई Harsh नाराजगी। उन्होंने ने कहा कि मोदी जी ने Our भाषण में Our को नाली का कीड़ा, monkey, वायरस, दाऊद, हिटलर, नालायक बेटा, रेबीज से victim monkey, Lie का सौदागर, रावण, सांप, Scorpion इत्यादि सब Some बोला सिवाय मेरे द्वारा सर्टिफाइड #नीच शब्द के।",NOT
116,मोदी Did गांड में दम है तो संसद में ' बन्दे Mataram ' का अपमान to do people पर कारबाई करे ! देश का अपमान करने वाले औबैसी और उसके भाई पर कारबाई by doing दिखाए।,HOF
117,मेरा लुंड गया Went बेहेन की चुत में,HOF
118,तू भी तो भड़वा only है भाया। तेरे तो २ Ten million भी नहीं। भाड़ In घुसकर मर लंका पति @RadherManram,HOF
119,Each एक #Bye की Heart की ख्वाइश होती है ?…….. खुद #कितने बड़े #कमिने होंगे पर #Girl शरीफ ही #चाहिए !!,NOT
120,"मुबारक Are, जितने भी हिजरे हैं वो दिल्ली में ही रहते हैं चाहे वो Government हो,मीडिया हो चाहे वो दिल्ली के हिंदू हो और सिक्स pack the ones नामर्द boys yes. and हिजरे की तो सरकार है hey bastard लोग दिल्ली को रेपिस्ट स्टेट और क्राइम का अड्डा बना दिया है, obligation Is कि पीएम Too वहीं living हैं।",HOF
121,"एसे #नीच और #घटिया लोगो को #चौराहे But सबके Front #फांसी टाँग Two,, ओर enough #देश मे #लाइव दिखाओ ।",HOF
122,अख़बार पढ़ने की ऐसी लगन..!!!! One आटो चालक.. जैसे ही सिग्नल लाल हुई newspaper निकाला.. side by side बग़ल की Presence से बेख़बर.. देश क्यू नही जागेगा !!!! @BJP4Delhi,NOT
123,Live : हर बार difficulties Of बावजूद मुंबई के circumstances क्यों नहीं बदलते ? #MumbaiRainsLiveUpdates #MumbaiRainlive #MumbaiRain https://zeenews.india.com/hindi/live-tv,NOT
124,Earlier aap Pappu ke stah ab bua ke sath aapka bhi self kuch hai ya nahi,NOT
125,"Pics of the year Main Akela hi chala tha Janib -e- manzil stomachs, Log aate Gaye #Caravan banta Gaya ,, Alhamdu Lillah @asadowaisi sahab ke karwan ki shuruwat to gayi @imtiaz_jaleel @shaukat_aimim @bilaljaleel_",NOT
126,बरगद की शाख़ तोड़ दी आँधी ने पिछली रात इस वास्ते Today वो गाँव Of old man उदास है,NOT
127,"रामरहीम को खेती करने के लिए Jail से रिहा करेगी.. भाजपा Government, इतना listening to ही आशाराम भी 'धनिया' बोने Did तैयारी में !! @Anjupra7743",NOT
128,#askexperts why this bastard Akash Chopra is there in commentary..he always speak gutter ...khud to BC kuchh Kiya nai.chutiya..irritating,HOF
129,सूरते हाल ए उत्तर प्रदेश। कब तक चलता will remain These सब?? @Uppolice @dgpup,NOT
130,"देश को #प्रज्ञा_ठाकुर जैसे सांसद की जरूरत, Very अच्छे रास्ते But Go रहा है देश #2019_loksabha_result",NOT
131,"सावन Of अभिनंदन सा, महका है वो Sandalwood Like, नीर के सहमे मंदन सा, पतझड़ के उस क्रंदन सा, महक रहा हूँ चंदन सा, खनक Stayed हूँ #कंगन Like.... #WordTreasury #हिंदी_शब्द",NOT
132,सुप्रीमकोर्ट Of Order पर देश के अनाथआश्रमों में लड़कियों की स्तिथी जानने का काम एक संस्था को दिया गया इस संस्था को 9 राज्यों ने आडिट get done From मना किया जिसमें 8 In BJP Did governments हैं आखिर कारण क्या है ?,NOT
133,माननीय डॉक्टर @drharshvardhan Yes को केंद्रीय स्वास्थ्य मंत्री बनने पर हार्दिक Best wishes,NOT
134,#प्रधानमंत्री Yes ने #प्रज्ञा_ठाकुर Of बयान पर Own तल्ख टिप्पणी दी है जो Country's favour में है। पर उसके बाद Some लोगों ने गोडसे का birthday मनाया। इस पर बहस की जरूरत है कि What गोडसे की विचारधारा को सम्मान देने people को राष्ट्रद्रोही माना Go चाहिए?,NOT
