,text,task_1
41,"#BEDTET2011बेरोजगार @Narendra Modi @YogiAdityanath यह कैसे Country/Territory के Dictator chief are Who #BEdTET2011 के the unemployed की #pathetic हालत पे आँख off किये intoxicated Are...#dumb,#deaf,#dogs,#bastards..leaders From भी worse.. @AmitShah @drdineshbjp @DrMNPandeyMP @kpmaurya1 @RSSorg @Swamy39",NOT
42,Proud of @AdvAshwaniDubey Ji आज Sonbhadra Singrauli Area में breaths से Coal pick up को मजबूर करोड़ो people को Clean हवा Of अहसास got done गैरकानूनी तरीके From Ambulatory are 5000 कोयला ट्रक off करवाये लड़ाई long Are But intentions strong Is #SingrauliPollution,NOT
43,जिस देश में #kanhaiya_kumar जैसा read wrote युवा Garland जाए #terrorist_pragya जीत go That देश Did public Of भगवान भला Do @pankhuripathak @kanhaiyakumar @darkumarvishwas @satender1234123 @lambalka @shellrud,NOT
44,This बात Did उम्‍मीद है That Common बजट में वित्‍त Minister Nirmala सीतारमण Minimum balances को लेकर कुछ important announcement Tax can Are #Budget2019 #Modinomics19,NOT
45,Chad villages to chati PE......10 sheet le gyi haati wali.....Aur babua the hate me of gone bowl.......,NOT
46,"#कमल_हासन अपने thought to keep के लिए आज़ाद Is, So Then #pragya_thakur Why नही? क्या This Country मे #freedom of expression की Two definitions Is?",NOT
47,बाबा Sir डॉ० Bhim Rao अम्बेडकर only हमारे 'Shiva' हैं...।। They Immortal being आज Too हमारी Security कर are हैं...।। Dad साहब Did Victory Are...,NOT
48,boar शब्द Whose लिए इस्तेमाल Did go Is ? Just पुचिंग,NOT
49,"मैदान But आपसे गेंदबाज कांपते थे, Many This way match आपने जिताए Who Memorial Are. When मैंने Cricket Look Start Did Was तब Yours India टीम में Entry हुई Was. Therefore मुझपर क्रिकेट Of Passion To you देखकर ascended. specially छक्के लगाने In आपका कोई answer No Was. Always miss you #YuvrajSingh",NOT
50,No Only हाफिज़ को their पूरी Party के candidates To #पाकिस्तान Did जनता ने Election In denial दिया Was. हमने #pragya_thakur To जीत given दी। @KRaval20 @ParulDRayka4 @abhayjotwa @abhisar_sharma @lambalka,NOT
51,बेटे Your As My कार Of टायर Clean करते Is 400 Rupees महीने But your अवकात Address Is swag है you दंगाई Federation का तेरी So Such की thirty thirty Street छाप स्वर Did औलाद Ambulatory Bhadvi Of you ब्लॉक Happened Now स्वर के Children,HOF
52,एक Friend As such सिरहाने Needed By which दोस्ती के excuses Needed mill कर Wafa perform We दोनों fizao में resounded They तराने Needed... #आपकी_काँची #hindi_word #शब्दनिधि,NOT
53,लुंड की thirsty whore has lund To चूस -suck Tax पिया 2 720p http://xv.musz.info/%e0%a4%b2%e0%a5%81%e0%a4%82%e0%a4%a1-%e0%a4%95%e0%a5%80-%e0%a4%aa%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%b8%e0%a5%80-%e0%a4%b0%e0%a4%82%e0%a4%a1%e0%a5%80-%e0%a4%a8%e0%a5%87-%e0%a4%b2%e0%a5%81%e0%a4%82/ …,HOF
54,"Good शुरुआत के बाद stumble Team India, Bangladesh को दिया 315 का Target, World cup In Rohit has जड़ा the fourth century #CWC19 #INDvsBAN https://abpnews.abplive.in/sports/india-vs-bangladesh-icc-cricket-world-cup-2019-ind-sets-target-of-315-runs-1158878 …",NOT
55,"ये भीख No are, ये beggar No are धरा पे, Correct तुम्हारी तरह Of you Human सौपा है, As such काम करना Did History बने, All say Old woman माँ has Us वरदान assigned Is..",NOT
56,"जल के Without fish Alive रह can Is But बीजेपी TV पर Religious विवादों But Discussion show Without Alive नही रह सकती,,, @ziddy_zoya @BebakAawaj @VoiceofmyBharat @Anjupra7743 @ppbajpai",HOF
57,सपा Of For These एक Big मौका है Dalit भाइयों Of Heart to win Of For अब Dalit भाइयो To मायावती से Any Hope नही है। अखिलेश यादव To OBC Of Together Small Castes Pay Too ध्यान देना चाहिए Them Our Party In आने का invitation Give. then 2022 Of Election dalit-backward Of लिए जीत आपकी Will be,NOT
58,One person As such Too है Whose नाम Modi है पैर From लेकर Head As far as Only And Only झूठ फरेब धोखेबाजी Salt I lose Betrayal Country Of प्रति appeared gives Is आक थू थू मोदी Name पर,HOF
59,Bus So much सी बात काफी Is Our Taarroof In ~ government डर Of Each रोज़ नया ठिकाना changing है ~,NOT
60,"Yes At once Correct Say are हैं Sir. जनता को Astray to do के For कभी #चाय sold, Sometimes #पकोड़े, तो #backwards बने,तो कभी खुद #नीच say, then कभी people To #पन्द्रहलाख Of झांसा दिया So Sometimes #chowkidar become nationalism का Mask लगा #note ban Tax लाखों करोड़ Rupees का scam tax nation Did the roots dug up branch .....",NOT
61,5 साल From One जानवर Of Name पे मार रहे हो वो Looks No. beginning करोगे तो Now Equal answer will get Then whore Weeping crying रहना,HOF
62,You fucker congratulations To Middle में लाने को किसने spoke ? मा will fuck फिर So,HOF
63,"बाबारामरहिम के good आचरण But Bail mill can है So 14 साल From जेल में off शहाबुद्दिन का जेल In Which one बुरा Behaviour Is , Law everyone's for बराबर Happen want",NOT
64,Delhi Of East मुख्यमंत्री Respected Mister साहिब Lion वर्मा Yes की Death Anniversary पर Them विनम्र नमन।,NOT
65,"एक तीसरा ""option"" भी Is, And They है ""Conflict""",NOT
66,you हिजड़ा Did gross पे तू Dog भी lund No मारेगा,HOF
67,"मै देश No बिकने दूंगा These to say gonna NTPC BSNL To shells Of Rate sell रहा है,,,",NOT
68,Delhi के stay the ones young boy Here take a bath के लिए आए थे,NOT
69,Hum sab Conflict karne ko taiyar Hain Smagod party Zindabad Akhilesh yadav Hail,NOT
70,"Love की Talk है, Sunlight In खिले Gulmohar Did बरसात है!! गुल My Colour चुरा लाए Are Gulzaron In, Water are Are You भरी rain Did shower In... अमलतास And गुलमोहर सी am I , Baisakh में the spring To longing for हूँ गुलमोहर चितचोर Is मेरे नहीं many Of दिल But राज करता Is They!! #hindi_word #शब्दनिधि",NOT
71,"khaira Bazaar, Bahraich में Muslims But पहले तो Too much और Then पुलिस की unilateral action. after all Justice कौन will do Any तो आवाज़ picked up innocent मुसलमानों Of For. @samajwadiparty @YadavKhilesh @dimpleyad @arisudan11 @MirzaInam_ @YasirS_Alig @Aqdas_shaikh_22",NOT
72,"मैं चुनाव commission To, And Election Process से connected each व्यक्ति To, Too much बधाई gives हूँ और भारत के Vigilant voters To naman does am: पीएम @Narendra Modi जी । #MannKiBaat",NOT
73,Brother-in-law बल्ला तो बिल्कुल mab lynching type चलाता Is motherfucker,HOF
74,गौरव साहब orange वाले What Others देश के Are Who That whore ने ऐसा wrote Is,HOF
75,success के destination के For Given Like to become Very ज़रूरी है.. Sahib..! दिया हमेशा दूसरों के लिए burning is...others From No Burning..! शुभरात्रि Tweetries,NOT
76,Nayan Neerav Abe Ulta two is bol rha hSP- 15BSP- 5,NOT
77,This Rashidi जेहादी Of पायजामा Yellow So No Is आज आज Bastard To Big भाईचारा नज़र Come रहा है,HOF
78,"जब From मैंने तोहे Saw, रातों को No Comfort... #krishnakanhaiya #muraliwale #mohan #kanhaiya #RadheRadhe #Jai Shri Ram #gopalkanhiya #भाजनसंध्य #acharyapramodkrishnam @acharyapramodak",NOT
79,#CWC19 #INVENG Life बूझकर हारने वाले Statement But कपिल देव has Gave Pakistani cricketers To precipitous जवाब. @therealkapildev @TheRealPCB @BCCI https://www.wahcricket.com/news/world-cup-2019-legend-kapil-dev-respond-to-former-pakistan-cricketers-statement-138653 …,NOT
80,Country Did राजनीति In आप Ideal Leader Is And This हम All believe Are अगर Politics में Any  Person To आदर्श Agreed Go सकता Is So Respected अखिलेश यादव जी हैं! आप इसी For विशेष है !जय Akhilesh,NOT
81,"Bravery, Shaurya, sacrifice एवं patriotism की प्रतिमूर्ति, English शासन Of विरुद्ध 1857 Of स्वतंत्रता Struggle In अग्रणी भूमिका by fulfilling हम सब Indians In Proud प्रबल साहस And Shaurya to fill Wali महान #Queen of Jhansi #Laxmi Bai जी Of बलिदान day पर उन्हें hundreds of hundred naman. || Polite Homage ||",NOT
82,"#NewProfilePic #राह Go Mad बनते Are Friend, #Cold_Drink Lyrics के दारु to drink हैं Friend, How many? Too #कमीने Are But काम पड़ने But हमेशा #Ahead रहते हैं #दोस्त !!",NOT
83,their What Work Is ये Ahle सियासत जानें My पैग़ाम love Is Where तक arrived gang system day Did Congrats सभी देशवासियों को... @AbbasAliRushdi @yasarshah_SP @dralvirashah @Rashid_Idrishi6,NOT
84,key से खुला Lock बार बार काम In now Is और hammers से खुलने But Again Work Of No lives । This  तरह relations Of locks To Anger Of हथौड़े From नहीं बल्कि Love की key से Open it. #शुभ_रात्री,NOT
85,#CWC19 England Of hands हार Of बाद captain विराट कोहली ने them to told हार Of For जिम्मेदार. @BCCI @imVkohli #INDvENG https://www.wahcricket.com/news/world-cup-2019-indian-captain-virat-kohlis-reaction-after-lose-against-england-138724 …,NOT
86,Itaunja: खुद Blood From soaked up लेकिन अपनी Sister Did Life to save के For संघर्षरत इस युवक Of painful Video. UP Government कुछ तो रहम-दया दिखाए। अपराधियों ने State को puppet बना took Is. @myogiadityanath @YadavKhilesh @uppolice @ziddy_zoya_ @VoiceofmyBharat @Anjoubrahah43,NOT
87,पहलू खान Of sons has कहा-कांग्रेस Government से We Justice Desire रहे were the charge sheet No! Bahujan Society Of संघी कांग्रेसी Devotees अब What thought Is इस But? बस Attention रखना घटना Rajasthan Did है! @mpchalia @MLArajeshSP @bahujanwarriors @invincisachin @MyselfViraj @gajbhiye_sumegh,NOT
88,#pragya_thakur भोपाल से Election Victory gone #CongratsNaMo,NOT
89,तुम्हारा जिहाद तुम्हारी ass In Branch कर Mouth From निकाल will give Bhenchod...,HOF
90,"One मुस्लिम Person ने Others Muslim Asghar अली To beaten, उठक meeting लगवाई And Forced 'जय Mister राम' बुलवाकर वीडियो Make. वीडियो In Self Of the face No दिखाया, वीडियो viral Are Went. नकली secular गैंग हिंदुओं To Swear-word देने लगे, Now पोल open gone Police ने That मुस्लिम To गिरफ्तार कर took Is.",NOT
91,Therefore So कहते हैं स्कूलों में हिंदी को More From More पढ़ाई go children Did Hindi Get better Swear-word So #कमिने #friendship teach देते हैं। #Follow me % #Follow Back,NOT
92,जो Too मेरे ईश्वर Of Against आये cutting दो Years To ये Fire Very आगे जाएगी directly battle Happen Needed God से कामना Is These जो राक्षस है उनका Sanghar करने Of लिए God लोगो को Power Give Suresh Chavanke @SureshChavhanke You Very Correct Tax रहे Is These साले सुअर Is इनको non-violence Paramo Religion समझ No आता,HOF
93,बापू We Ashamed हैं तेरे killer Now alive Are #pragya_thakur मुर्दाबाद #गोडसे मुर्दाबाद..,NOT
94,"aging, मुज़फ्फरनगर में solitaire Paper वर्क्स factory का Inauguration Do happened Srikalki पीठाधीश्वर @AcharyaPramodk Yes.",NOT
95,"1971 Of Afterwards देश ने First बार One Government को Pro incumbency mandate Gave Is. ये जीत सच्चाई की Victory Is, India के लोकतंत्र Did Victory Is: पीएम Modi जी ।",NOT
96,"आदमी So Man, I So पानी Of बारे In Too thinks was'...write the ones Poet आलोकधन्वा Of जन्मदिन पर Material आजतक की बधाई",NOT
97,"motherland सनी ,तेरे Near Time No Is So, 'your माँ Why चुदाई इधर ?",HOF
98,great क्रांतिकारक the queen लक्ष्मीबाई यांना On death anniversary Polite Greetings!! #RaniLaxmiBai #Rani Lakshmi Bai #लक्ष्मीबाई,NOT
99,"Muslim लोगों से vote मांगने Wali पार्टियां क्या अभी इस Muslim के about In कुछ will speak @Mayawati @YadavKhilesh @Rahul Gandhi Such #नीच And #kamine Muslim लोगों को Kill Give चाहिए, Who Our Hind Daughter पर bad vision डालें",NOT
100,"तबरेज Of लिए तो तेरे peaceful community के Ammi Queen has चूडियां तोडकर Widow विलाप done Were! You लोगों के Mazar पर Hindu Streets Of कुत्ता Too Urine कर Give तब भी riot to provoke the ones हरामी community है,मन्दिर कि Sculpture to trample In your only conspiracy है",HOF
101,"Burqa भी केवल लाचार Muslim women Of For Is. दम है So Timur की अम्मी, shahrukh की बेटी, जावेद Akhtar की Wife To wearing show । Agree = RT",NOT
102,"My प्यारे Countrymen, Me And One बात Of लिए Too Yours And World Of people का आभार व्यक्त Doing है। 21 june को फिर From One Times Yoga day In उमंग के Together, एक-एक परिवार Of तीन-तीन four by four पीढ़ियाँ, एक Together आ करके Yoga day To मनायाः PM @Narendra Modi Yes । #MannKiBaat",NOT
103,@BDUTT Evidence for you to do your रंडी sigh as a Presstitude trumpeting intolerant Hindus,HOF
104,#कमीने #Friend वीडियो आ finished Is youtube Pay See सकते हो बिंदास Click https://youtu.be/pRM2ZMe28vE अपने ख़ास Friends To Too Ahead forward Do Thank you Buddy subscribe Doing Mistake जाते हो… https://www.instagram.com/p/Bunzs37FI0z/?utm_source=ig_twitter_share&igshid=1r1ipm4rw6j82 …,NOT
105,मुस्लिम मादरचोद Bastard com है । पहले will kill Then sorry behen चोद mullo,HOF
106,Pradesh the CM Ji khn hain. Pta nhi..Bas two Do it. Sab Kuch Correct rhe,NOT
107,"Supplication कीजिए अल्लाह Our सदर Sir @Advice साहब @Akhtaruliman5 Sir And @imtiaz_jaleel Sir To success ata Say it आमीन,, @shaukat_aimim @aimim_national @syedasimwaqar",NOT
108,¶¶खनकती चूड़ियाँ And छनकती पायल Love Did mousiki में instruments was हैं¶¶¶ ~#साहिब१ #bangle #शब्दनिधि #हिंदी_शब्द,NOT
109,"श्रीलंका Of One And wicket गिरा, third परेरा 21 रन by making happened आउट #SLvsSA #ICCWorldCup2019",NOT
110,"World Cup: बेकार Went #rohitsharma Of century, #england has 31 runs From by defeating रोका #India का Vijayarath #ENGvsIND #IndvsEng #WorldCup2019",NOT
111,सरदार Of नाम But कलंक है These swag @sherryontopp,HOF
112,अरे fucker your सड़े Brain के सोच के Outside है मोदीजी की thought You As Cheap Satan What go Only tribal महिला का rape करने except Khajliwal wife sleeping है सिसुदिया Of Together और for you बच्चे born करती क्योंकि lund your bobties करदिया Went Is,HOF
113,भीषण Heat के Middle दिल्ली In Electricity Did मांग भी increased Went है,NOT
114,"डॉ.पायल की ख़ुदकुशी, dr.kafeel To जेल और महाराष्ट्र में पिटने But shoulders shout, Kolkata In पिटाई But हड़ताल Get it done! Doctor Are come on EVM?",NOT
115,"manishankar अय्यर has pointed out कड़ी नाराजगी। They has कहा कि Modi Yes ने Our भाषण में अपने को नाली Of worm, monkey, virus, Dawood, hitler, worthless Son, रेबीज From victim monkey, झूठ Of merchant, Ravana, Snake, Scorpion इत्यादि सब Some बोला सिवाय मेरे By certified #नीच Word के।",NOT
116,Modi की ass में power Is So संसद In ' man मातरम ' Of Insult करने people But कारबाई करे ! Country का अपमान करने वाले aubaisi And His Brother पर कारबाई by doing Show it.,HOF
117,My lund Went गया बेहेन की chute में,HOF
118,you Too तो swag ही Is Dear तेरे तो २ Ten million भी No. भाड़ In sneaking in मर लंका Husband @RadherManram,HOF
119,Each One #बॉय Did दिल Did wish was Is ?…….. Self #कितने बड़े #minimum will be पर #Girl शरीफ ही #Needed !!,NOT
120,"Auspicious Are, as many Too हिजरे Are They Delhi In ही living Are चाहे वो Government yes media हो whether They दिल्ली Of हिंदू हो And six pack वाले नामर्द boys हो।और hijra की तो Government है ही,हरामी लोग Delhi To रेपिस्ट state और crime Of haunt made Gave है, मेहरबानी Is कि पीएम Too वहीं living Are.",HOF
121,"एसे #Lowly और #Cheap लोगो को #crossroads पर everyone's सामने #Execute leg Two,, Side पुरे #Country In #Live दिखाओ ।",HOF
122,newspaper reading Did ऐसी लगन..!!!! एक Auto चालक.. जैसे ही signal Red Hui newspaper Removed.. अग़ल sideways Did Presence From Uninformed.. देश क्यू No जागेगा !!!! @BJP4Delhi,NOT
123,Live : Each बार मुश्किलों के बावजूद Mumbai Of हालात क्यों No changes ? #MumbaiRainsLiveUpdates #MumbaiRainlive #mumbairain https://zeenews.india.com/hindi/live-tv,NOT
124,Earlier aap Pappu the surface ab bua ke Together Yours bhi self kuch two ya nahi,NOT
125,"Pics of the year Main Akela hi enough tha Janib -e- manzil stomachs, Log idea Gaye #Karwan banta Gaya ,, Thanks Lillah @asadowaisi sahab ke karwan to shuruwat to gone @imtiaz_jaleel @shaukat_aimim @bilaljaleel_",NOT
126,Banyan Did शाख़ the break Gave आँधी has पिछली रात This for the sake of आज वो Village का old man उदास Is,NOT
127,"रामरहीम To खेती करने के For Jail से रिहा Will do.. भाजपा Government, इतना सुनते only Asharam Too 'Coriander' to sow की Preparation In !! @Anjoubrahah43",NOT
128,#askexperts why this bastard Akash Chopra is there in commentary..he always speak gutter ...self to BC Some Kiya nai.chutiya..irritating,HOF
129,faces हाल ए Answer State. When As far as चलता will remain ये सब?? @Uppolice @dgpup,NOT
130,"Country To #pragya_thakur As सांसद की Need, Very अच्छे रास्ते पर Go Stayed है देश #2019_Lok Sabha_Result",NOT
131,"सावन Of अभिनंदन Like, महका Is They चंदन सा, Neer Of सहमे मंदन सा, autumn Of That Crying Like, smell रहा am चंदन Like, खनक Stayed am #bracelet सा.... #WordTreasury #हिंदी_शब्द",NOT
132,Supreme Court Of Order पर देश के अनाथआश्रमों In girls की status जानने Of Work एक Institution To Gave Went इस Institution को 9 states ने आडिट get done From deny किया in which 8 में बीजेपी Did governments Are आखिर Cause What Is ?,NOT
133,Honorable Doctor @darharshvardhan जी To केंद्रीय Health मंत्री to become पर Heartfelt शुभकामनाएं।,NOT
134,#Prime Minister Yes has #pragya_thakur के बयान But Own तल्ख टिप्पणी Gave है जो देशहित In है। पर His Afterwards कुछ people has Godse Of birthday Celebrated. इस पर Discussion की Need है That What Godse Did thinking को Respect देने वालों To राष्ट्रद्रोही Agreed जाना Needed?,NOT
135,"Sometimes see हो - Chamar licking stores' 'भंगी टी stall' Khatik चाउमीन corner' 'Pasi Yes का शुद्ध Dhaba' That Day ऐसा दिखाई to give will take, #अर्टिकल_15 समझ Will go Constitution पढ़ो , पिक्चर से Too somewhere More interesting है। @Anjupra7743 @Vndnason @bkarwadiya @Rana11639322 @GirishRita @SheetalSuryav10",NOT
136,"England Won So Pakistan Outside ओर If India जीता तो इंग्लैंड Outside, God Do बरसात हो जाये brother-in-law These दोनो Outside..! #CWC19",NOT
137,10 Children पैदा करने हैं : Witness महाराज 4 Children born to do Are : साध्वी प्राची 2 Children born करने Are : बाबा Ramdev speech Afterwards में देना Earlier तुम तीनों Marriage So कर लो : #shahrukhsiddiqui,NOT
138,I let me tell These @anubhavsingh जैसे demons has Own इन्हीं misdeeds से पहले Hindu-Muslim In दरार born Did Now brother-in-law हिंदुओं Of Inside Diverse Castes In ft डाल रहे हैं। their ऊपर आतंकवाद का मुकदमा चलना चाहिये। #bastard,HOF
139,"We कोई फर्क No falls brother, someone मंदिर तोड़े come on Any rape do, eat scratch बत्ती Extinguish!! हरामी हिन्दू!! #Hindu_haram @pramod__delhi @PanditRaamendra @sengar_krishan @a__patriot @BJP4Delhi",HOF
140,चुप भोसडीके philanthropist पर गलत Comment does Is,HOF
141,तुम्हारे Dalit होने From उन्हें Any फर्क No Had to his difference पड़ता Is तुम्हारा अम्बेडकरवादी होना। Victory Bhim,NOT
142,"B like my father who never forced anything for he knew I was worth nothing, he gave me my liberty to decide my life saying those golden 4 words 'कुछ So not done You fucker'",HOF
143,East सांसद अतीक Ahmed Of पीछे standing person To गौर From देखिए These Bewitched Jaiswal है ये हमेशा Our फायदे Of लिए अतीक Ahmed Of आगे Back घूमता था BJP के इशारो But अतीक Ahmed To Infamous करने Of काम Did. the weak But crime होता See silenced Are जाना बगावत Is order Elahi From. Then किसी भी Religion Of Are.,NOT
144,Statue of Unity के मुद्दे But @sambitswaraj और @syedasimwaqar In arrogance | #arparr @AMISHDEVGAN Of Together @News18India But. 1/2 @Advice,NOT
145,जी grandfather Sir has Said Was एक्चुअली वो Too socialist थे और एक Times Election Garland गये थे ।,NOT
146,जो Country को Break Want हैं उनके मन In Fear होना चाहिए और हमें Happiness Is That We These Fear born करने का Work Did है:: Mister @AmitShah Yes,NOT
147,Some boar Lyrics रहे the temple Did idols only तो smashed Is इंसान थोड़ी मारे are it lynching थोड़ी Is Why No हम सारे Hindu मिलकर के मस्जिदों To तोड़ना on do फिर We भी Lyrics देंगे on the wall smashed Is Any Human little मारे हैं When तक सहेंगे We लोग When तक Swear-word खाएंगे।क्या होगा You double faced Of,HOF
148,If 370 और Akha removed So cashmere Muslim कहां will be- age Abdullah । I tells हूँ भोसड़ीके वो सब फिर अपनी Status में will remain ।।,HOF
149,Number Of मादरचोद है साला Dog Kejrival,HOF
